Date,Open,High,Low,Close,Adj Close,Volume
2013-01-29,195.353729,196.682602,194.684509,194.933075,134.746109,3783487
2013-01-30,194.732315,195.869980,194.254303,194.569794,134.494949,3136326
2013-01-31,194.378586,195.478012,194.034424,194.139572,134.197571,3233604
2013-02-01,195.650101,196.319305,194.875717,196.156784,135.591980,3525752
2013-02-04,195.210327,196.003830,194.617584,194.827911,134.673386,3335485
2013-02-05,195.325043,195.745697,193.604202,193.871887,134.012527,3804197
2013-02-06,191.577438,192.437866,190.783936,192.179733,133.427856,3790913
2013-02-07,191.797318,192.074570,189.942642,190.956024,132.578262,3218228
2013-02-08,191.175903,193.202682,190.898666,192.810699,133.865906,3026392
2013-02-11,192.141495,193.068832,190.965576,191.357559,132.857056,3080156
2013-02-12,191.214142,191.912048,190.267685,191.242828,132.777359,2575043
2013-02-13,191.826004,192.112808,190.793503,191.290634,132.810562,2269611
2013-02-14,190.946457,191.510513,190.497131,190.869980,132.518524,3445733
2013-02-15,191.185471,192.399612,191.032501,192.141495,133.401291,3794679
2013-02-19,191.778198,193.011475,191.414917,191.510513,132.963242,3136222
2013-02-20,191.797318,192.848953,190.114716,190.544937,132.292831,3886308
2013-02-21,189.894836,190.315491,189.397705,189.608032,131.642334,4103353
2013-02-22,190.468445,192.246658,190.095596,192.246658,133.474289,3250863
2013-02-25,192.801147,193.585083,188.824097,188.824097,131.098083,4021661
2013-02-26,189.894836,191.108994,189.139572,190.382416,132.179962,3547614
2013-02-27,190.143402,193.833649,189.866150,193.432129,134.297363,4377615
2013-02-28,193.288712,194.187378,191.959854,191.998093,133.301697,4904903
2013-03-01,191.826004,194.015289,190.592728,193.986618,134.682358,3460482
2013-03-04,193.680695,196.166351,193.642441,196.166351,136.195724,3863296
2013-03-05,196.806885,198.565964,196.644363,197.447418,137.085144,3982959
2013-03-06,197.925430,199.321228,197.571701,199.216064,138.313080,3760161
2013-03-07,199.130020,200.382416,199.082214,200.210327,139.003387,4063082
2013-03-08,200.621414,201.472275,200.219879,201.128113,139.640594,3870723
2013-03-11,200.803055,200.956024,199.847031,200.841293,139.441452,3189986
2013-03-12,200.191208,201.462708,199.894836,201.290634,139.753418,3756814
2013-03-13,200.956024,203.021027,200.544937,202.734222,140.755692,3510271
2013-03-14,202.820267,206.367111,202.820267,206.309753,143.238144,5758753
2013-03-15,205.908218,206.405350,204.024857,205.468445,142.654022,8295094
2013-03-18,203.537292,205.066925,203.288712,203.833649,141.519028,3144276
2013-03-19,204.713196,205.659653,202.514343,204.053543,141.671677,3345736
2013-03-20,205.315491,206.328873,204.875717,205.602295,142.746979,3157874
2013-03-21,203.594650,203.632889,200.869980,202.925430,140.888504,6098598
2013-03-22,202.877625,203.795410,202.313583,202.753342,140.768967,3170949
2013-03-25,203.193115,203.451248,200.812622,201.472275,139.879547,3391655
2013-03-26,202.456985,203.154877,202.198853,203.021027,140.954819,2406114
2013-03-27,201.682602,202.829834,200.860428,201.615677,139.979095,3371676
2013-03-28,200.602295,204.053543,200.516251,203.919693,141.578751,3922395
2013-04-01,203.441681,204.110901,201.959854,203.040146,140.968124,2243147
